"Bitcoin Diamond
(BCD)","1.74
USD"
"IOTA
(MIOTA)","0.499820
USD"
"Digitex Futures
(DGTX)","0.129927
USD"
"TrueUSD
(TUSD)","1.01
USD"
"BitShares
(BTS)","0.099950
USD"
"Aurora
(AOA)","0.025712
USD"
"Electroneum
(ETN)","0.019729
USD"
"Dash
(DASH)","154.51
USD"
"DigiByte
(DGB)","0.023407
USD"
"0x
(ZRX)","0.902678
USD"
"Raiden Network Token
(RDN)","0.593576
USD"
"Viacoin
(VIA)","0.678284
USD"
"Siacoin
(SC)","0.006826
USD"
"QASH
(QASH)","0.216218
USD"
"Bitcoin
(BTC)","6470.99
USD"
"Genaro Network
(GNX)","0.051827
USD"
"Bytecoin
(BCN)","0.001348
USD"
"Electra
(ECA)","0.000461
USD"
"Metaverse ETP
(ETP)","3.03
USD"

"Everus
(EVR)","0.013196
USD"

USD"
"OmiseGO
(OMG)","3.34
USD"
CPT)","0.111320
USD"
"Gifto
(GTO)","0.071769
USD"
"ZClassic
(ZCL)","3.40
USD"

"MediBloc [QRC20]
(MED)","0.004082
USD"
"Storm
(STORM)","0.007948
USD"
"AppCoins
(APPC)","0.104107
USD"
"SingularityNET
(AGI)","0.052697
USD"
"Elastos
(ELA)","9.22
USD"
"Everex
(EVX)","0.542636
USD"
"ETHLend
(LEND)","0.018855
USD"

"Phore
(PHR)","0.484877
USD"

"High Performance Blockchain
(HPB)","0.704408
USD"
"NavCoin
(NAV)","0.365970
USD"
"OST
(OST)","0.046992
USD"
"IoT Chain
(ITC)","0.235761
USD"
"CPChain
(CPC)","0.025861
USD"
"DeepBrain Chain
(DBC)","0.007441
USD"
"Civic
(CVC)","0.140659
USD"
"Monetha
(MTH)","0.037220
USD"
"Basic Attention Token
(BAT)","0.233949
USD"
"Nasdacoin
(NSD)","0.231159
USD"
"OAX
(OAX)","0.253326
USD"
"TokenClub
(TCT)","0.027508
USD"
"Eidoo
(EDO)","1.21
USD"
"Delphy
(DPY)","0.226305
USD"
"Ambrosus
(AMB)","0.203291
USD"
"QLC Chain
(QLC)","0.050468
USD"
"WaykiChain
(WICC)","0.221974
USD"
"Sakura Bloom
(SKB)","0.003544
USD"
"Substratum
(SUB)","0.114708
USD"
"Nxt
(NXT)","0.060406
USD"
"TE-FOOD
(TFD)","0.012080
USD"
"COSS
(COSS)","0.065125
USD"
"DEW
(DEW)","0.187526
USD"
"SIRIN LABS Token
(SRN)","0.075129
USD"
"Blox
(CDT)","0.016543
USD"
"OriginTrail
(TRAC)","0.032047
USD"
"Selfkey
(KEY)","0.006012
USD"
"WhiteCoin
(XWC)","0.072022
USD"

"SmartCash
(SMART)","0.021656
USD"
"Propy
(PRO)","0.377648
USD"
"RevolutionVR
(RVR)","0.032097
USD"
"Holo
(HOT)","0.001118
USD"
"MobileGo
(MGO)","0.474781
USD"
"Ubex
(UBEX)","0.001955
USD"
"Horizen
(ZEN)","14.26
USD"
"Bitcoin Gold
(BTG)","26.60
USD"
"Wagerr
(WGR)","0.153677
USD"
"Neumark
(NEU)","0.339057
USD"
"DigitalNote
(XDN)","0.002972
USD"
"CasinoCoin
(CSC)","0.000388
USD"
"XYO Network
(XYO)","0.002740
USD"
"Crown
(CRW)","0.352588
USD"
"OracleChain
(OCT)","0.145447
USD"
"Ifoods Chain
(IFOOD)","0.002271
USD"
"Agrello
(DLT)","0.094077
USD"
"ALQO
(XLQ)","0.179410
USD"
"Red Pulse Phoenix
(PHX)","0.014055
USD"
"NEO
(NEO)","16.58
USD"
"Matrix AI Network
 (MAN)","0.233343
USD"
"ODEM
(ODE)","0.134366
USD"
"TaTaTu
(TTU)","0.123383
USD"
"BnkToTheFuture
(BFT)","0.035822
USD"
"ARBITRAGE
(ARB)","6.29
USD"
"Nectar
(NEC)","0.512071
USD"
"REPO
(REPO)","0.100281
USD"
"Eximchain
(EXC)","0.100248
USD"
"Waltonchain
(WTC)","2.93
USD"
"Everipedia
(IQ)","0.009665
USD"
"Mainframe
(MFT)","0.007454
USD"
"HempCoin
(THC)","0.024538
USD"
"Feathercoin
(FTC)","0.042520
USD"
"Apollo Currency
(APL)","0.001452
USD"
"Ontology
(ONT)","1.83
USD"
"Ripio Credit Network
(RCN)","0.029207
USD"
"SwftCoin
(SWFTC)","0.002445
USD"
"Nexo
(NEXO)","0.107336
USD"
"Fortuna
(FOTA)","0.016595
USD"
"Asch
(XAS)","0.184517
USD"
"Moeda Loyalty Points
(MDA)","1.93
USD"
"MediBloc [ERC20]
(MEDX)","0.006578
USD"
"DECENT
(DCT)","0.199528
USD"
"Crypto.com
(MCO)","4.45
USD"
"Primecoin
(XPM)","0.528331
USD"""BLOCKv
(VEE)","0.009098
USD"



"Rock
(RKT)","0.029451
USD"
"Ethereum
(ETH)","205.36
USD"
"Verge
(XVG)","0.014210
USD"
"BitBay
(BAY)","0.019217
USD"
"Boolberry
(BBR)","0.954771
USD"
"Dimecoin
(DIME)","0.000010
USD"
"Golem
(GNT)","0.154688
USD"
"Bancor
(BNT)","1.29
USD"
"Cappasity
(CAPP)","0.008431
USD"
"WAX
(WAX)","0.074068
USD"
"Ethos
(ETHOS)","0.417583
USD"
"Centrality
(CENNZ)","0.036506
USD"
"GameCredits
(GAME)","0.172229
USD"
"Revain
(R)","0.148593
USD"
"Po.et
(POE)","0.011502
USD"
"Dero
(DERO)","1.71
USD"
"Vitae
(VITAE)","2.99
USD"
"PCHAIN
(PAI)","0.022795
USD"
"Achain
(ACT)","0.028861
USD"
"Ternio
(TERN)","0.016116
USD"
"Ardor
(ARDR)","0.114055
USD"
"Oyster
(PRL)","0.163019
USD"
"DATA
(DTA)","0.002961
USD"
"AirSwap
(AST)","0.096076
USD"
"Refereum
(RFR)","0.005333
USD"
"QuarkChain
(QKC)","0.059494
USD"
"PolySwarm
(NCT)","0.003321
USD"
"Patron
(PAT)","0.021546
USD"
"Veritaseum
(VERI)","28.03
USD"
"Wings
(WINGS)","0.172854
USD"
"Mobius
(MOBI)","0.028574
USD"
"Stratis
(STRAT)","1.42
USD"
"Polymath
(POLY)","0.230954
USD"
"Storiqa
(STQ)","0.002281
USD"
"MaidSafeCoin
(MAID)","0.196874
USD"
"Covesting
(COV)","0.789722
USD"
"MassGrid
(MGD)","0.081458
USD"
"Unobtanium
(UNO)","72.10
USD"
"SpaceChain
(SPC)","0.013632
USD"
"Dock
(DOCK)","0.020739
USD"
"Crypterium
(CRPT)","0.336684
USD"
"HashCoin
(HSC)","0.000355
USD"
"Ink
(INK)","0.019367
USD"
"Time New Bank
(TNB)","0.010306
USD"
"ICE ROCK MINING
(ROCK2)","0.379222
USD"
"Qubitica
(QBIT)","3.25
USD"
"Switcheo
(SWTH)","0.008324
USD"
"BridgeCoin
(BCO)","1.39
USD"
"Bytom
(BTM)","0.212165
USD"
"CRYPTO20
(C20)","0.712673
USD"
"Bread
(BRD)","0.376746
USD"
"Loom Network
(LOOM)","0.123094
USD"
"Rotharium
(RTH)","3.95
USD"
"Ethereum Classic
(ETC)","9.66
USD"
"ContentBox
(BOX)","0.010674
USD"
"Qtum
(QTUM)","3.95
USD"
"IoTeX
(IOTX)","0.016712
USD"
"XTRABYTES
(XBY)","0.027736
USD"
"PayPie
(PPP)","0.123216
USD"
"Credits
(CS)","0.146511
USD"
"ProximaX
(XPX)","0.003155
USD"
"Aion
(AION)","0.446935
USD"
"Bitcore
(BTX)","0.769983
USD"
SD"
"New Power Coin
(NPW)","0.382415
USD"
"Santiment Network Token
(SAN)","0.454646
USD"
"Cortex
(CTXC)","0.311333
USD"
"Aragon
(ANT)","0.715339
USD"
"Lympo
(LYM)","0.018235
USD"

"Global Currency Reserve
(GCR)","0.161643
USD"
"0chain
(ZCN)","0.275035
USD"
"Paxos Standard Token
(PAX)","1.01
USD"
"Airbloc
(ABL)","0.029378
USD"
"Augur
(REP)","12.50
USD"
"SmartMesh
(SMT)","0.017702
USD"
"BHPCash
(BHPC)","1.14
USD"
"XinFin Network
(XDCE)","0.001428
USD"
"Hydro
(HYDRO)","0.004072
USD"
"Mercury
(MER)","0.115735
USD"
"Litecoin Cash
(LCC)","0.024227
USD"
"MktCoin
(MLM)","0.005236
USD"
"Haven Protocol
(XHV)","1.86
USD"
"NEM
(XEM)","0.095006
USD"
"aXpire
(AXPR)","0.015687
USD"
"ZrCoin
(ZRC)","1.82
USD"
"BitTube
(TUBE)","0.088114
USD"
"Dai
(DAI)","1.02
USD"
"iExec RLC
(RLC)","0.462943
USD"
"bitUSD
(BITUSD)","1.01
USD"
"Dragonchain
(DRGN)","0.193846
USD"
"Pandacoin
(PND)","0.000128
USD"
"HTMLCOIN
(HTML)","0.000152
USD"
"TTC Protocol
(TTC)","0.073239
USD"
"Arcblock
(ABT)","0.202875
USD"
"APIS
(APIS)","0.002714
USD"
"Gnosis
(GNO)","20.02
USD"
"DATx
(DATX)","0.003796
USD"
"MinexCoin
(MNX)","1.94
USD"
"Decred
(DCR)","38.30
USD"
"Consensus
(SEN)","0.002947
USD"
"Credo
(CREDO)","0.051685
USD"
"ECC
(ECC)","0.000258
USD"
"Decentraland
(MANA)","0.070290
USD"
"Ubiq
(UBQ)","0.491773
USD"
"PotCoin
(POT)","0.024537
USD"
"Emercoin
(EMC)","0.975136
USD"
"SwissBorg
(CHSB)","0.009765
USD"
"Nexty
(NTY)","0.000085
USD"
"Brickblock
(BBK)","0.088372
USD"
"Waves
(WAVES)","1.96
USD"
"eosDAC
(EOSDAC)","0.023535
USD"
"Wanchain
(WAN)","0.996451
USD"
"Wowbit
(WWB)","0.051420
USD"
"CEEK VR
(CEEK)","0.010985
USD"
"Tezos
(XTZ)","1.31
USD"
"Kyber Network
(KNC)","0.423517
USD"
"Hi Mutual Society
(HMC)","0.014508
USD"
"Zipper
(ZIP)","0.001480
USD"
"Counterparty
(XCP)","3.46
USD"
"MonetaryUnit
(MUE)","0.036122
USD"
"DAEX
(DAX)","0.018717
USD"
D"
"Quant
(QNT)","1.74
USD"
"All Sports
(SOC)","0.013634
USD"

"Aeron
(ARN)","0.730438
USD"
"Mothership
(MSP)","0.072400
USD"
"AdEx
(ADX)","0.260005
USD"
"Ravencoin
(RVN)","0.030293
USD"
